"__v",_id,coordinates,createdAt,geo,hashtags.0.indices.0,hashtags.0.indices.1,hashtags.0.text,hashtags.1.indices.0,hashtags.1.indices.1,hashtags.1.text,place.attributes,place.bounding_box.coordinates.0.0.0,place.bounding_box.coordinates.0.0.1,place.bounding_box.coordinates.0.1.0,place.bounding_box.coordinates.0.1.1,place.bounding_box.coordinates.0.2.0,place.bounding_box.coordinates.0.2.1,place.bounding_box.coordinates.0.3.0,place.bounding_box.coordinates.0.3.1,place.bounding_box.type,place.country,place.country_code,place.full_name,place.id,place.name,place.place_type,place.url,text,tweetId,user.location,user.name,user.screenName
0,5adad800ccead8d725234523,,2018-04-21T06:19:44.000Z,,52,73,TheyAllAreSlimeBalls,,,,,,,,,,,,,,,,,,,,,RT @Top_Sergeant: There is no loyalty among vermin. #TheyAllAreSlimeBalls https://t.co/X6AjbnXEkA,987576599074623490.0,"Centennial, CO",American Mom,MomNlterry
0,5adad800ccead8d725234526,,2018-04-21T06:19:44.000Z,,56,70,BharatAneNenu,,,,,,,,,,,,,,,,,,,,,"RT @pudiharicharan: Hat tip to @sivakoratala for making #BharatAneNenu thoroughly entertaining with the right dose of heroism, politics and…",987576598994939900.0,"Bengaluru South, India",Doddegowda,Doddegowda13
0,5adad801ccead8d72523452b,,2018-04-21T06:19:44.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @gulbukhari: And Madam Shadow Minister cannot stop lying about ‘strip search’. Such is her venom against PMLN that she continuously lies…,987576599607296000.0,Calgary,Khalid Ali,KhalidAli1
0,5adad801ccead8d725234531,,2018-04-21T06:19:44.000Z,,,,,,,,,,,,,,,,,,,,,,,,,@PrecisionHomes_ I am so ever interested in environmental sciences.  The scope for cleaning the mess that we humans… https://t.co/gWm3RZFMh1,987576600429563900.0,Glasgow Torino BuenosAires,Gabriella Ronzoni,LaCasaRonzoni
0,5adad801ccead8d725234537,,2018-04-21T06:19:44.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @CorbieresMan: Amber Rudd boasted of harsher immigration strategy, leak reveals https://t.co/kxaUoEATA5",987576601180295170.0,France,Lib Dems in France,LibDemFrance
0,5adad801ccead8d72523453a,,2018-04-21T06:19:44.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @bbusa617: https://t.co/smcyRaXAFV\n\nSESSIONS WOULD CONSIDER RESIGNING IF TRUMP FIRED ROSENSTEIN Well Trump Can't Fire Rosenstein Just Ye…,987576601100607490.0,"Texas, USA",💥brooks brown💥🌐🏁,bbusa617
0,5adad801ccead8d72523453f,,2018-04-21T06:19:44.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @LunaLuvgood2017: Lol @GOP \n\nThe snakes are turning on each other https://t.co/KVYClGGskh,987576601914130430.0,"Felton, CA",Gwen Chiaramonte,GwenChiaramonte
0,5adad801ccead8d725234545,,2018-04-21T06:19:45.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @sam_vinograd: @CNNSitRoom Hope this is real but Just for a dose of skepticism / his father supposedly blew up an important facility/ co…,987576602782568450.0,THE TOWN,KENJI™,kjones88swag
0,5adad802ccead8d72523454c,,2018-04-21T06:19:45.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @GuitarMoog: UK MEPs from across the parties are dedicated to opposing Brexit, and many believe it can and must be stopped.\n\nMe for @pro…",987576605487837180.0,,Barbara Crellin,barbaraecrellin
0,5adad802ccead8d725234551,,2018-04-21T06:19:46.000Z,,,,,,,,,,,,,,,,,,,,,,,,,Reporter: Trump's hooker remark raises eyebrows - CNN Video https://t.co/6XtOx9K0tC,987576607190798340.0,"ÜT: 41.589161,-81.48429",Eric Wilson,EricWilsonBeatz
0,5adad803ccead8d725234557,,2018-04-21T06:19:46.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @bmfleeton: “Those familiar with i360 stress the program itself is next to useless without accurate and quality data, professional grass…",987576609199738880.0,,Mark Plackett,MarkPlackett1
0,5adad803ccead8d72523455a,,2018-04-21T06:19:46.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @dril: please join me iin eating one hundred bags of romaine lettuce if you are sick of the CDC rubbing their ass in our faces, with pol…",987576609262768130.0,trinidad | atlanta ☭,⎔ obeah ⎔,thotheaded
0,5adad805ccead8d725234564,,2018-04-21T06:19:48.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @jojoh888: Come on let's make his dreams come true!!! 😃 Lots of patriotic Americans support him for the first time, ICE round him up!!!…",987576615730233340.0,USA,Linda,Linda_WCovfefe
0,5adad805ccead8d72523456a,,2018-04-21T06:19:48.000Z,,,,,,,,{  },103.74996,1.212314,103.74996,1.368745,103.918427,1.368745,103.918427,1.212314,Polygon,Singapore,SG,"Central Region, Singapore",58a4c3a0d54e1400,Central Region,admin,https://api.twitter.com/1.1/geo/id/58a4c3a0d54e1400.json,And we wonder why Europe finds us a laughing matter https://t.co/IAkidcsHNE,987576616741167100.0,"chiswick, london",Kay Etherington#FBPE,etherkay
0,5adad805ccead8d72523456d,,2018-04-21T06:19:48.000Z,,,,,,,,,,,,,,,,,,,,,,,,,Amen! https://t.co/6ek1pYonWo,987576617684746240.0,Southern California,Cathleen Pyle,Cococat92
0,5adad805ccead8d725234575,,2018-04-21T06:19:49.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @robn1980: ⭕ Peter Hitchens: “I’m astonished by the almost unanimous collapse of the media and politics into acceptance of something whi…,987576619480113150.0,London and swansea,maggie pedersen,razorclam29
0,5adad805ccead8d725234578,,2018-04-21T06:19:49.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @MarkSimoneNY: Jeff Sessions told The White House that if Rod Rosenstein is fired, he will quit. Wow, that's more  motivation than Tony…",987576619752566780.0,,Pamela Paul,BakiraChampion
0,5adad806ccead8d725234581,,2018-04-21T06:19:49.000Z,,0,6,Obama,34,49,Easternisation,,,,,,,,,,,,,,,,,,"#Obama -as @gideonrachman says in #Easternisation did Barack have a cerebral style or was he a nice guy who was rea… https://t.co/4FU8lOIOar",987576622537691140.0,"England, United Kingdom",Rob Peach,peachyrob
0,5adad806ccead8d725234583,,2018-04-21T06:19:49.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @HawaiiDelilah: If we don't get the Senate, which is a tougher lift than the House, Trump can still stack the judiciary, and name a SC j…",987576623405776900.0,,samm mc,lovehatepolitic
0,5adad807ccead8d72523458a,,2018-04-21T06:19:50.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @TheKouk: Extraordinarily bad idea when there are 730,000 people unemployed and a further 1.1 million underemployed. They could offer to…",987576625486151680.0,"South Australia, Australia",Maggie Bird,Magpie1954nBird
